st_racuna,artikli
12239,2 9225 3098 46 53 57 1081 590 593 604 619 3696 115 1042 1766 7927 7421 256 5405 3358 3360 824 1351 370 3445 5497 395 3490 440 446 8175
12789,2 16 40 46 2098 53 1081 1101 590 598 115 186 1723 5841 294 824 2391 908 441 485
12825,385 2 46 440
12862,2 2066 421 564 186 593
14745,1 2 16 1042 534 1064 57 60 74 598 604 619 115 1730 1766 271 824 421 980
14872,1 16 2066 3098 53 57 4668 60 590 604 619 3700 9851 1220 9435 824 1357 370 421 440 446 1502
16956,2 2066 16 3098 1064 46 57 60 74 589 604 619 1730 256 271 294 2364 1351 1357 2386 440 446 972 3022 980
17150,2 16 534 1064 9272 57 1081 598 9327 3696 163 186 6850 247 7421 256 3358 3360 3364 4403 824 5949 2411 5497 7091
18790,2 271 2066 1064 8237 57 598 2032
19316,2 16 3098 1064 53 57 60 590 604 2233 186 195 247 256 824 4419 1351 1357 370 2424 395 2987 440 441 446
20045,2 16 534 34 1064 53 57 598 604 115 5779 1206 2233 2237 271 824 1409 440 441 963 1502
20167,2 511 16 1042 34 2098 57 589 598 619 186 195 242 247 256 271 824 1351 908 421 440 446 1987
20329,2 16 2066 23 34 36 41 46 53 57 60 74 4271 186 242 247 256 294 370 421 440 446 10720 564 619 719 908 1042 3098 1064 1081 1140 1409 3490 1730 6017
20366,2 2066 1042 34 36 41 46 60 74 590 598 824 395 440 446 980 488
20547,1 16 1042 421 46 4403 452
21416,2 16 2066 1042 46 564 60 589 619 1140 6841 186 1220 256 1357 908 420 421 980
21450,2 16 41 46 57 60 74 598 604 619 1140 1220 7900 5858 247 256 275 1300 3358 3360 824 4419 395 1987 2008 4065
21735,1409 2 5639 395 271 421 1206 1730 590 2387 598 1766
21933,2 16 1042 34 41 72 74 590 186 1723 256 11015 271 294 1351 390 395 908
22806,1 2 16 53 57 74 115 2233 9005 256 271 2387 2391 440 446 448 534 593 619 681 801 806 824 9198 1042 1064 1357 9622 9685 5768 1766 4004
22893,2 16 34 115 195 1220 440 441 446 1502
23081,1 2 16 2066 34 41 46 57 60 74 195 256 271 294 440 441 446 534 590 619 824 908 1081 1220 1242 1373 3678 5949 4065
23447,534 1064 41 2612 53 60 598 3788 3789 1242 247 256 1357 11151 440 446 1987
23618,2 16 3098 115 272 4419 370 421 441 2032
24228,1 2 2066 57 74 115 167 10418 186 256 271 10535 421 440 480 598 629 636 908 2987 980 1042 11332 5292 2032
24937,1 2 16 2066 23 46 57 4166 115 4254 256 271 294 395 421 6574 446 2523 590 619 719 824 4956 908 980 1064 1081 1220 1351 1766 1994
25911,2 10255 34 36 41 46 60 72 115 2182 10396 8391 247 10488 294 8506 2364 421 10663 440 446 448 2520 2523 593 6846 719 9005 980 1042 1185 11575 11585 11607 11612 11615 1410 5627 7774 5768 3996 2008
26454,1 2 16 2066 34 41 46 57 60 74 107 115 186 195 247 256 271 294 370 395 421 440 441 448 590 619 824 980 1042 3098 1064 1081 1206 1220 1357 1358 1766 1822
26649,2 16 1042 74 598 619 186 4797 1220 719 1766 2298 256 294 824 1357 395 440 441
27331,3979 271 534 9511 1064 681 2987 4669 195 11725 370 9716 636
27762,1 2 16 2066 53 57 590 604 619 115 195 256 271 824 3903 395 421
29004,2 16 1042 3098 34 1064 41 2098 57 1206 1220 256 2340 294 1357 370 1409 420 421 6574 440 441 1987 980 2032
29740,2 534 34 5168 53 598 1140 271 3358 3360 294 4398
30229,2 2066 34 41 46 53 564 590 598 1140 5273 186 256 271 294 2364 908 440 1502
31008,1 2 16 534 34 41 2098 60 74 1622 619 115 167 1730 195 1220 1357 1409 1944 4515 440 458 1994 9680
33429,1 2 16 41 57 74 195 256 2364 504 511 534 604 879 9152 1042 1351 5949
34683,1 2 16 2066 34 36 41 2098 53 57 74 186 10594 370 4515 420 421 422 441 440 534 590 908 1042 3098 1064 1206 1357 1358 1439 1502 1599 1766 2032
34928,2 16 34 41 53 57 60 8272 4206 115 4237 2424 390 440 446 2520 485 534 598 617 1064 1140 7421 1351 1358 11639 1987
34989,2 16 34 72 115 271 385 421 420 446 465 10720 534 590 604 619 8890 4797 8962 9005 9106 1042 5337 1599 1655
36496,2 1042 36 1081 619 3360 3364 4398 2364 908 440 980 2008
37067,1 2 16 1042 534 34 41 53 57 74 590 589 619 115 1655 167 195 271 824 2364 1351 1409 9122 4515 420 446 448 3538 1502
39195,1 2 16 2066 46 53 57 60 74 115 163 195 256 271 275 294 10574 8537 385 395 6559 421 440 446 458 8703 619 824 5107 3098 3220 5273 1218 1351 1357 1730 1766 7993 6016 8082 10192 4065
39807,2 534 57 5273 440 441
40403,2 3979 1206
40701,2 16 1042 36 1081 57 60 74 598 619 2205 186 1214 1220 2780 247 256 271 3360 822 824 2364 1351 1357 395 1439 421 11177 440 446 511
40879,2 16 34 41 2101 57 115 10396 10418 247 395 4515 619 908 9122 1042 5158 1140 1220 1351 5640 5735 1987
41149,1 57 5259 271 824
41405,3098 46 440 1730 598 370
42856,2 46 107 115 4229 7900 3360 3364 2387 458 2520 2008 511
43183,1 2 16 34 41 46 60 74 115 186 247 256 4379 2340 294 8504 385 395 440 441 446 448 598 619 824 11095 908 13236 1042 5289 5447 1351 1357 3490 9772 1599 7774 1766
43919,256 908 530 3098 294 1064 440 4156 1214 3788 613 879 6388 115 247
44218,2 16 34 36 8237 46 60 115 2166 2180 167 6388 6392 256 294 370 395 421 440 441 446 530 590 598 619 824 879 13226 3098 13378 1140 1220 1235 1351 1357 5497 5577 5640
44614,2 16 46 9273 619 115 186 271 824 2391 370 395 440 441 458
45691,8010 370
45741,440 824 446 5337 107 115 6774
46277,2 5640 534 2101 4669 598 619 1140 4229 1208 1220 247 275 1845 5497 440 458 2520 7651
46301,2 530 1064 41 57 1206 186 1220 719 247 256 271 1357 4956 5497 908 3490 440
47272,2 16 2066 36 1064 53 57 74 619 186 195 247 256 3872 294 12088 1351 879 8066 395 421 440
47305,2 6774 115 5289 5337 10488 2364 1351 852 6017 440 446
47532,1 2 16 34 60 115 163 167 186 195 256 294 300 2364 370 446 534 598 824 1081 1351 3406
48184,2 16 36 46 57 598 619 115 186 247 256 271 294 824 1351 852 7548 440 441
49627,2 16 2098 60 4204 2233 2237 247 256 271 294 385 395 420 421 440 441 488 534 10815 598 604 619 9005 852 9122 1042 3098 1220 1351 1357 1599 3903
50269,2 16 1042 1064 46 53 590 115 5273 186 195 247 256 271 294 1351 2391 421 441
50467,2 2066 60 74 598 619 247 2298 256 294 8504 852
50934,1 2 16 34 46 2098 53 57 60 74 256 271 294 370 2424 421 440 441 458 604 824 980 3098 1439 1502 1730 2032
50986,2 16 34 598 619 1042 294 824 448 980
51215,2 2066 34 46 186 256 294 395 441 448 534 6725 593 598 604 619 824 4933 852 1042 9272 1140 5262 1404 13867 1766
51709,2 16 34 1599 74 590 593 598 1622 619 115 1140 1208 186 242 256 824 395 420 421 441 446
53651,2 16 23 34 41 60 598 7774 619 1140 115 8864 1730 1253 3358 3360 3364 5928 300 824 395 4515 421 7651 11259
53677,2 1042 619 247 1330 1351 2424 385 511
53818,2 5640 6183 53 589 593 619 115 10418 2260 3813 271 824 2364 2410
53923,2 1042 53 57 115 256 1802 294 1351 3488 440 441 446 2497 980 2040 511
54061,2 534 23 34 41 2614 60 74 598 619 115 5273 186 2235 1253 256 824 1351 1409 2465 420 440 441 446 1987 5577 980
55165,1 2 16 5158 46 2098 53 57 74 619 195 14021 1766 271 824 1351 2391 420 440 441 963 2032
57339,2 2066 16 23 34 41 115 4322 10488 294 2424 421 10674 440 441 446 534 2585 2630 598 6846 2810 5088 1042 1064 1140 1358 1502
58196,2 16 34 41 46 2098 53 60 10335 115 2205 10535 2387 395 421 440 446 448 2520 534 590 598 604 619 6850 824 980 1042 5158 1081 1351 1439 1766
58415,2 34 1599 593 613 1766 247 256 395 421
60327,1 2 16 23 34 41 2098 51 53 57 115 8352 186 247 256 271 272 294 10535 4403 370 395 420 446 2520 534 604 619 908 1042 3098 13509 3538 1623 11874 1766 3903 14295 2032
61154,2 619 2780 256 4403 824 12130 440 441
61449,1 2 16 1042 598 619 1730 1237 1766 2364 395 440 448 458 465
62316,1 2 14345 16 34 41 46 57 1081 60 74 619 115 1220 3360 3364 294 824 2364 852 420 1987
64111,1 2 16 46 74 2298 271 2424 6557 4515 420 421 440 441 446 564 598 613 6774 801 847 963 980 1042 1064 13361 3180 1173 1206 1214 5337 1358 1502 9772 3629 14076 3846 3979
64880,2 5273 34 1357
66379,2 1439 420 421 53 824 446 247
66494,1 2 16 2066 74 2237 4322 247 256 271 294 370 395 440 446 458 619 719 824 852 1220 1358 1409 5627 5949 6017 4065
67053,2 256 16 5949 74 2391
67864,256 5259 395
67954,2 16 36 1064 53 12344 57 598 604 9321 107 619 1140 11479 256 3360 294 824 8006 421 440 446 1502
68099,256 385 2 16 534 824 186 1351 74 247
68134,2 2066 534 1064 53 57 4156 1599 74 598 115 186 195 824 2364 11697 10175
68243,511 34 1064 824 1730 458 1622 879
68480,2 1042 534 34 1064 564 115 186 3490 440 446 2520
69265,256 3098 1064 446 8937 370
69819,256 2 1439 440 824 74 598 115
70457,3360 3364 4398 824 1351 593 598 2780
70712,1 2 16 534 57 1081 74 5289 186 1723 247 256 271 294 1351 2391 395 412 420 2989 440 441 446 1987 2032
72645,2 3098 46 824 440 619 115
73622,2 1042 3629 57 598 619 115 636 271 2334 4403 7993 1351 421 440 1987 2032
73804,2 16 1042 46 53 57 1081 60 74 617 5259 186 2237 714 256 271 4403 1358 3406 421 440 446 2523 2032
73896,2 16 41 46 115 256 271 294 6483 395 420 421 534 590 613 619 908 980 1042 1206 7394 1351 1357 5640 1730
74367,1 2 36 46 57 1081 74 619 195 256 271 1351 385 420 441 1987
74384,1 2 16 1042 46 2387 247
76448,2 1042 534 564 53 60 590 619 10912 1220 3788 1766 3872 824 1351 1357 1409 421 440 1502
77420,2 16 34 41 46 57 60 4166 74 1206 195 247 256 271 294 2364 1351 370 2424 8066 395 420 963 1987 2032
78333,2 1042 46 53 619 1351 1409 440 441
79249,2 3098 57 619 1206 271 294 1351 852 440 446 980 1502
79691,2 395 34 440 824 446 7248 115
79982,16 3098 598 107 3732 1766 271 422 440 452 458
80882,1 16 1042 824 60 74 3952
81464,2 16 1042 3610 36 41 2098 53 72 115 4229 1208 1766 3878 824 12620 421
81661,2 1064 51 57 1206 186 247 256 1357 370 883 908 440 5072
82175,2 16 53 74 115 2233 247 271 12584 395 421 441 619 824 7018 879 1042 1358 8066
82430,1 2 1042 534 1064 53 57 60 74 589 590 604 7774 619 195 247 256 824 1351 980
83827,2 16 34 41 53 57 74 256 271 10535 395 420 4517 421 441 458 589 590 604 11135 908 1042 1064 9273 1199 1214 1253 1357 13653 1502 1599 1622 13966 5858 1766
84577,2 16 1042 534 3098 34 41 46 53 598 1622 619 115 5259 2233 2237 1220 256 2368 1351 852 385 4004 446 963
84710,1 2 186 2235 195 619 879
84885,6144 2 598 619 1730 294 824 440 446 485
85398,2 16 534 74 619 271 824 1351 3406 440 2032
85508,2 16 1042 41 4669 593 598 619 115 1730 1766 256 1351 1357 395 421 440 446 963 1987
85528,2 34 57 619 115 242 271 879 440
87387,653 1300 3360 8237 4398 719 590 1253 4216
87887,1 2 16 1042 53 57 74 590 598 613 619 653 3219 150 163 256 275 1300 294 4403 1351 421 441 511
87999,2 2364 4166 74 619
88245,53 1220 1357 2424
88289,9224 9227 1042 629 271 791 5013 446 11725 4581
89456,2 16 2066 34 53 57 115 163 167 2233 186 2237 2249 256 260 271 294 12584 395 421 440 446 530 598 617 619 824 1042 3098 1357 5497 1439 9744 1766 3903 4004 1994 2032
89566,534 1064 53 603 2248 1802 3358 3360 3364 4398 824 14702 440 446
89651,2 34 46 1081 74 107 115 294 9526 2364 1351 395 440 446
89700,2 1 1042 421 1220 589 1502
89956,1 2 16 23 53 115 247 2364 395 420 421 2520 4669 590 619 824 4933 980 1042 1237 5497
90315,1 2 16 34 36 46 2098 53 57 72 74 10327 115 4269 195 4403 2364 2391 385 2438 420 421 440 441 534 598 604 619 4797 824 908 7058 9142 980 1042 1081 5259 9523 1351 5696 12257
90365,256 2 1042 294 421 4403 53 57 441 60 448 74 590 247
90807,395 16 2340 421 1351 719 7248
91618,2 57 74 619 115 247 256 271 1822 824 440 446 980 2032
92300,534 34 57 60 590 9435 256 294
92625,2 5707 593 598 1237 440 441 2008
92991,2 1409 3098 440 186 115
93080,2 5158 1064 46 1599 598 3162 115 2166 1723 256 3360 4398 824 1357 7043 390 395
93443,2 16 53 564 60 593 7774 619 9859 5779 1208 271 1351 2008
93474,1 2 1042 74 590 598 3789 247 256 271 275 801 806 824 5949 452 2032
94089,2 57 256 2364 8066
94223,2 8237 53 57 74 590 593 195 256 272 824 2905 440
94388,1 2 1042 46 53 60 74 590 593 1623 619 115 247 294 2364 1351 908 420
94548,16 1081 619 195 256 294 440 446 2032
94855,8130 294 247 5497 3098
96558,2 16 53 74 3678 619 9859 3872 294 2391 440 441 446 8652
96818,1 2 16 57 74 115 186 247 256 272 294 385 395 421 440 441 446 458 465 593 619 824 852 980 3098 1064 1351 1439 5582 1622 1766 8066 2032
96944,2 16 1042 534 564 1081 60 590 604 115 1220 247 256 271 3358 3360 294 4398 5949 852 879 370 395 420 421 440 446 980
97528,2 16 1042 57 2674 115 4229 7900 247 2298 275 440 441 446 1987 980 488
97778,2 34 57 60 115 2235 294 7551 395 421 440 446 980
98572,256 46 2101 440 963 1220 4065 5735 1140
98600,2 34 41 57 74 590 598 107 619 115 1206 1730 275 395 908 421 440 446 1502
99041,2 256 11535 421 440 1206 446 619 247
99657,2 4004 824 1364
99724,2 16 1042 1064 53 74 598 3678 619 4229 1206 186 5327 247 256 271 272 294 1351 421 11697 440 446 1987 2520 1502
99775,1 2 16 2066 53 1081 57 115 247 2298 256 824 879 370 395 908 440 446
101355,2 16 34 564 593 619 1206 2780 9976 3903 2883 908 421 440 2493 446 2520 1502
102154,2 16 36 2612 1081 6729 74 590 598 619 2166 1206 4797 2255 2298 256 824 1357 11135 1409 8073 908 440 446 9152 485 2032 511
102201,2 22 53 57 60 74 590 619 115 1766 294 1358 1409 395 1439 4515 440 441 446 963 980 2032
102339,1042 534 36 564 1599 2166 271 370 440 446 485 511
105548,2 16 34 41 46 53 57 72 74 115 195 256 395 440 446 598 619 824 852 925 1042 1220 5497
106133,2 16 2066 34 41 46 53 60 74 2209 242 275 294 2364 370 395 440 446 465 590 593 598 908 925 7328 1358 3554 7774 1766 2008
106223,1 2 16 23 34 51 60 72 74 115 10418 195 6384 272 2364 385 395 440 446 448 590 598 613 619 822 824 1042 5273
106249,2 16 36 1064 619 115 2166 167 1730 719 247 256 824 1351 852 879 395 2987 511
106664,3098 440 963 2905 370
106779,256 16 294 2101 1220 1357 9435 370 1140
106978,2 16 1042 46 1599 2205 186 2780 822 440 441 446
107017,2 16 3098 36 53 57 619 115 195 247 256 294 824 1357 1364 370 421 2032
107138,2 16 57 1081 4669 1599 74 590 619 115 3732 167 4269 1730 256 4403 824 2391 395 1944 440
107743,2 16 46 53 60 74 115 163 2225 186 271 2364 2387 395 421 440 446 534 590 619 4751 719 824 15234 908 2987 1042 1101 5289 1206 1220 1235 1351 7498 3406 7515 1599 1730 7900 1766 3990 1987
108085,534 3098 36 1064 57 74 598 619 115 1730 1220 247 256 275 824 7492 852 370 2424 440 1994
108197,1 2 7171 534 3098 74 107 4204 186 7900 2780 247 775 271 824 1351 1357 4434 852 2391 370 1409 421 440 4581
109664,2 16 46 1358
110194,2 2066 10257 23 34 51 60 590 593 619 115 5768 3788 719 256 271 272 2340 824 440 441 446 2008 2032
111418,2 16 530 1042 46 53 57 1081 60 74 590 598 619 186 247 256 271 275 824 1358 421 420 441 446 1987 980 2032
111758,1042 534 46 57 74 590 604 4271 6850 195 271 824 370 421 446
112762,16 530 53 590 604 5273 163 824 2364 1351
113299,534 3098 34 1064 1081 57 1730 247 7423 256 294 4403 2364 847 370 420 440 446 963 485
113993,1 2 2066 74 619 5779 719 247 271 1357 385 395 421
114034,2 1042 619
114179,2 57 3903 1351 619
114299,1 2 16 421 824 57 604 619 115
114811,1 16 590 115 195 256 271 2391 879 446 980
115066,1 2 16 2066 34 41 60 74 247 256 271 294 395 421 440 441 446 534 590 593 598 6846 1042 1064 1358 3406 1409 3903 2032
116742,2 34 53 195 256 294 2364 440 441 446 2523 4669 590 598 824 1042 3098 1206 1220 1357 1409 1502
117001,2 16 3629 824 74 589 619
117615,2 598 619 256 2443 395
117722,2 2066 8257 619 256 395 421 440 446
118764,2 16 534 53 57 7259 604 619 275 2387 395 421 14249 458
119222,2 16 46 57 9273 74 115 1220 256 271 824 370 446 488
120136,115 6774 7310 186 824 2424 440 446
120279,2 46 57 1081 60 9788 74 590 107 619 115 1206 186 7868 9918 195 247 256 271 272 824 370 2424 440 441 446 8652
120565,256 2 16 1042 421 294 2098 441 5949 74 1766 619
120668,2 16 1042 2066 34 11833 74 604 619 3700 115 1766 1770 824 852 395 420 441
120766,256 2 16 57 441 74 458 590 619 115
121682,2 16 1042 590 619 115 7302 186 3788 256 6017 440 441 1994
121743,2 34 41 53 57 74 593 598 619 2248 294 824 2364 440 2008
121799,2 1042 41 593 604 619 1208 1351 395 421 465 7651
122137,801 2233 2237 1220 980
122151,2 74 593 598 115 186 256 294 824 511
123034,2 1042 34 1064 74 593 7774 613 256 420 440 446
123108,2 534 619 2674 115 5779 2260 247 822 1364 440 441 446 448 452
123734,2 1081 60 619 247
123771,2 16 598 10333 115 719 11005 271 294 824 5497 511
124025,3846 13362 440 598 15451 2424
124316,1 2 115 2166 195 247 256 294 440 446 593 598 9273 5273 1214 1502 3732
124480,1 16 74 619 115 1766 2810 4403 2391 422
125287,1 2 564 1081 74 598 619 115 1766 247 824 440
125461,2 1 1042 23 11828 74 590 604 5289 1730 7900 7959 1351 1358 395 441 2520
126540,2 534 46 5687 1081 72 619 163 186 247 256 271 294 824 2364 5949 1357 1409 395 908 440 511
128040,2 46 53 57 1081 9818 9321 107 247 824 852 440
129778,16 534 8227 1064 46 4668 10815 4204 115 195 7421 256 271 2387 2989 12721 440 446 8130 963
130228,2 16 2066 74 186 247 256 271 275 294 2364 421 441 511 534 590 593 604 619 980 5088 1064 9273 3180 1140 1237 1242 3360 1351 1357 5687
130818,2 16 1042 534 46 564 57 6723 598 619 1220 2780 10488 256 824 421 1502
130968,2 16 1042 3610 34 41 2098 57 60 74 593 1206 4322 233 3903 421 4517 440 441 446
131022,1042 57 60 74 186 256 15122 294 1351 5605 2032
131171,2 3098 74 590 186 195 9433 247 256 271 824 2364 1357 2391 2989 440 441
131817,2 16 1042 534 3098 1064 46 57 1081 60 604 619 186 1214 1242 256 294 824 370 5497 1409 385 440 963 1987
131845,1 2 16 534 186 1730 256 271 824 1358 847 2424 9600 440 446 8130 1502 5088
132684,2 1042 1064 1081 1599 186 5337 256 294 3987 441 511
133339,2 16 34 2102 57 115 186 247 256 2424 421 440 446 448 824 908 2987 1042 11332 1351 9772 7875 5958 1987
135122,2 16 440
135307,2 3098 46 57 60 598 115 186 247 271 824 879 395 440 441 446 5627
135553,3358 1439 3360 3364 440 57 60 1220 598 370 5497
135922,2 16 2066 57 10815 1599 9327 163 1242 3872 5949 1351 847 8067 7091 440 4026 446 452
136425,2 16 1042 421 1206 5094 3700
136441,2 395 46 6195 186 60 1220 458 370
136569,824 2233 60
136813,2 1 34 9272 2105 8767 1101 598 5273 1187 186 722 256 271 294 7996 1351 9601 440 1502 504
137266,2 16 23 34 41 53 115 4271 2237 6388 294 2364 395 2443 421 440 446 534 590 598 619 6774 2810 2895 1042 1081 1140 1211 15602 1351 9695 5627 9772 14012 6017
138103,3098 46 51 57 8272 13966 9918 1730 1220 247 256 8504 5949 1351 4434 370 440 441 446 1987 8651 8652 980 4581
138298,2 1042 34 46 53 6725 590 593 619 4229 186 2235 1766 6384 271 294 421 440 441 446
139058,2 16 1042 1064 57 1081 74 598 619 14456 2182 186 1253 256 2391 7058 421 448 1994 2032
139217,2 1042 57 115 2205 11951 256 260 271 385 395 440 446 448
139687,2 34 46 57 60 1599 6729 107 115 195 2780 247 294 1351
140074,2 1042 57 619 115 256 271 824 1364 5497
140185,1042 590 5259 256 294 395 4004 421 446 2523
140325,2 10257 16 598 604 7394 824 1351 852 441 468
141409,2 395 3098 36 1064 53 440 824 2364 8652 2391 370 115 2166
141683,1 2 41 46 57 4166 256 294 395 440 441 446 598 619 719 8937 1042 7328 1220 1357 1358 1409 5768 1766
141715,1 2 34 1206 440 60 74 2032
141862,2 16 534 1042 34 41 2098 53 2101 1599 5735 115 1140 4798 4797 256 3903 385 908 1944 421 420 441 446 9152
141936,1 2 1042 294 9273 441 1766
142195,41 2989 46 195 619
142498,2 16 1042 22 34 41 2098 57 72 74 590 593 1208 9918 719 271 9005 824 440 446 1987 2520
143014,2 16 557 57 1081 3157 613 3180 3219 150 1186 9922 2252 2253 271 300 385 440 446 1502
143665,1 2 7182 534 1064 46 53 57 74 598 1140 7326 1206 256 780 294 824 1351 5497 2443 4004 963 1498 488
144007,2 1042 34 41 57 1081 74 604 115 163 256 824 385 6017 908 421 440 446
144389,2 16 34 41 46 564 53 57 1599 74 1623 619 115 271 294 5428 824 5949 5968 370 1409 421 440 446 2520 1502 1006 511
144558,2 34 41 1081 57 1599 598 10884 186 195 719 1237 824 5458 852 4445 385 4004 440 441 446 5072 2032
145096,534 3098 1064 46 2101 57 60 74 5735 619 1140 1218 1220 6392 300 824 1357 370 395
145506,2 16 3098 34 36 46 115 1723 6388 4885 294 824 1357 879 8570 908 395 440
145559,2 2066 3098 9819 619 115 3360 4398 824 1351 1357 2391
145719,2 46 57 1081 598 619 115 256 271 1351 1373 1439 7091 440
145742,7171 36 53 2674 1206 1358 1404 11179 440 441 446
145953,2 446
146831,2 534 3098 1064 4204 7321 1242 4434 370
147069,2 16 1064 2235 1214 1220 1357 1409 908 421 2032
148983,2 16 534 604 271 824 441 446 10186
149223,11265 2 16 1042 34 60 74 590 593 619 2249 2810 1351 441 980 2008 1502
151689,2 16 1042 3098 3619 1064 46 53 1081 57 60 1599 74 593 598 604 619 115 3219 186 4797 195 5337 9435 247 256 271 801 294 4403 824 4419 1357 2424 1409 385 7044 395 908 1944 421 440 446 1994 5088 488 511
153324,2 16 23 34 38 2098 57 60 74 115 186 195 260 271 275 2391 385 420 421 446 4640 564 604 619 824 852 980 1042 9436 1351 1358 3520 3678 5779 3788 1766 3872 6017 2032
153892,1 2 16 2066 53 57 74 4204 271 275 4398 2387 12668 421 446 534 619 852 5033 2989 1064 7311 5268 3360 1357
154809,2 16 46 60 186 395 421 440 446 448 534 589 590 4696 613 619 4761 822 1064 1206 1220 1987
154824,2 440 57
157135,1 2 16 1042 2066 534 34 46 57 598 7774 619 115 4237 1206 1766 271 1822 2364 395 421 440 441 446 980 1502
157588,2 16 53 57 60 74 598 619 115 719 247 256 294 824 879 385 395 421 440 446 980
157822,2 1042 534 34 60 590 593 395 421
158446,2 16 1042 51 60 604 195 1220 3788 256 271 3360 3364 3903 5497 3490 422 441
159514,1 2 16 36 1064 46 53 5696 74 619 115 1206 9425 247 256 1802 271 294 4403 824 1351 852 2391 370 2438 1439 4004 440 446 485 4581
160361,395
160912,2 16 1042 534 1064 46 564 60 593 598 4696 619 1220 256 822 420 440 1987
161438,2 16 1042 3098 46 590 598 619 186 256 824 370 421 440 446 458
161653,2 5640 2066 3098 46 57 74 598 604 107 619 2166 2182 1186 163 2224 1730 1218 247 256 7959 5928 824 5951 5958 852 1364 879 908 440 446 8132 5072 4065
161924,1 16 1042 23 3098 51 564 57 74 3157 604 3180 619 115 2182 7317 186 1214 195 1766 275 300 1330 309 1351 1439 420 421 1989 1006 7151 2032
162462,2 34 1064 557 57 598 107 115 3219 1186 167 1220 6369 1260 247 256 7951 4885 294 300 1351 2928 2424 1409 395 908 440 441 446 1987 980
163816,2 107 619 2364 440 441 980
164858,11265 2 16 3098 619 2780 1766 7406 824 1357 908 412 420 421 440
165183,2 1439 34 294 60 195 370
165377,2 16 1042 53 604 619 1730 195 247 824 1351 879 421 458 1502
165670,385 2 3098 294 1064 46 440 824 441 1730 370 115 247
166011,2 590 1766 247 256 824 395 1439 440
166155,2 16 3098 36 46 564 53 57 1081 74 593 619 115 186 247 6908 275 824 5949 1351 370 385 1409 908 1987 452 458 2032
167118,2 16 36 53 57 74 3732 1730 1220 6384 247 271 4885 294 824 1358 2438 440 1987 3543
168061,2 16 2066 1042 23 34 46 60 74 598 604 3678 115 186 8392 272 271 824 1351 377 395 421 440 448
168748,2 16 2066 534 3098 8738 46 2101 57 60 74 7259 9824 619 1140 1042 653 5314 195 1220 4322 256 271 3360 294 4398 4403 824 2364 852 370 6017 2443 908 1502 2032
168945,2 36 1064 53 57 1081 115 8352 247 7421 256 8963 824 1357 5497 9122 440 446
169455,2 16 530 3098 1064 46 53 57 60 74 590 598 604 619 1042 167 1208 186 1730 256 1802 5949 5497 1409 395 420 421 441 458 980
